transcript	l_tr	l_utr5	l_cds	l_utr3
ENST00000001008	3715	170	1380	2165
ENST00000005178	3601	223	1236	2142
ENST00000003084	6070	70	4443	1557
ENST00000002596	7160	304	924	5932
ENST00000004982	1460	21	483	956
ENST00000000442	2274	225	1272	777
ENST00000002125	2184	48	1326	810
ENST00000003100	3155	113	1530	1512
ENST00000002829	3607	289	2358	960
ENST00000000233	1032	88	543	401
ENST00000003302	4669	69	3234	1366
ENST00000002165	2385	86	1404	895
ENST00000001146	4556	28	1539	2989
ENST00000004103	1033	75	708	250
ENST00000004531	7560	48	2097	5415
ENST00000000412	2450	159	834	1457
ENST00000005558	1834	470	1356	8
ENST00000006275	805	19	522	264
ENST00000005286	3480	153	3075	252
ENST00000006015	2669	88	942	1639
ENST00000005386	4339	85	1998	2256
ENST00000006777	1721	49	1095	577
ENST00000006658	2634	35	2409	190
ENST00000007264	2048	133	939	976
ENST00000005180	475	35	285	155
ENST00000005995	1091	32	945	114
ENST00000005340	2989	255	2211	523
ENST00000007390	1210	74	939	197
ENST00000005257	2787	291	621	1875
ENST00000005260	3645	238	1536	1871
ENST00000006724	2489	202	798	1489
ENST00000005284	1917	420	948	549
ENST00000006053	3285	79	1194	2012
ENST00000005226	3241	109	2700	432
ENST00000007969	1615	220	1032	363
ENST00000014935	2652	794	909	949
ENST00000009180	1225	100	687	438
ENST00000011684	2881	148	2373	360
ENST00000013222	2559	16	792	1751
ENST00000014914	6582	110	1074	5398
ENST00000012443	2139	10	1500	629
ENST00000007699	1654	139	1095	420
ENST00000009530	3092	2	891	2199
ENST00000016913	1167	57	804	306
ENST00000013807	1278	192	972	114
ENST00000008527	2987	588	1761	638
ENST00000011473	2127	47	780	1300
ENST00000010299	1050	24	1026	0
ENST00000007414	3664	216	2529	919
ENST00000013034	796	209	534	53
ENST00000019103	1854	257	1323	274
ENST00000009105	2612	245	1431	936
ENST00000011898	4322	159	720	3443
ENST00000013070	3494	36	1278	2180
ENST00000011691	2697	38	234	2425
ENST00000019317	4368	223	1968	2177
ENST00000016946	7268	161	5298	1809
ENST00000010132	1840	142	1563	135
ENST00000009041	1703	234	705	764
ENST00000012134	9755	776	7341	1638
ENST00000007735	1303	61	1215	27
ENST00000011619	3384	330	2190	864
ENST00000007516	665	26	471	168
ENST00000008391	2058	530	1359	169
ENST00000011292	1384	27	1260	97
ENST00000014930	1159	151	570	438
ENST00000010404	901	65	468	368
ENST00000016171	5030	78	1233	3719
ENST00000008938	708	32	591	85
ENST00000011653	3049	202	1377	1470
ENST00000017003	3507	15	2598	894
ENST00000012049	2125	38	1149	938
ENST00000056217	5482	112	4794	576
ENST00000072644	1821	354	921	546
ENST00000037243	974	108	354	512
ENST00000027335	3670	93	2499	1078
ENST00000054668	420	0	420	0
ENST00000020926	5165	134	1281	3750
ENST00000037502	2100	77	1515	508
ENST00000064571	3154	1348	606	1200
ENST00000054666	2178	88	303	1787
ENST00000020945	2180	164	807	1209
ENST00000039989	4488	35	3426	1027
ENST00000040584	2417	300	729	1388
ENST00000046087	1195	52	1056	87
ENST00000061240	7291	668	3042	3581
ENST00000053468	2100	12	606	1482
ENST00000075503	2771	281	1269	1221
ENST00000072869	2574	386	1881	307
ENST00000043402	1944	226	1422	296
ENST00000026218	2846	88	2283	475
ENST00000064724	2758	199	624	1935
ENST00000035307	3978	1513	2319	146
ENST00000020673	3824	168	3075	581
ENST00000023064	1766	193	1464	109
ENST00000054950	2369	123	996	1250
ENST00000070846	4361	46	2646	1669
ENST00000023897	2083	468	1371	244
ENST00000055335	3477	77	2400	1000
ENST00000081029	1829	12	972	845
ENST00000056233	3740	301	2085	1354
ENST00000025008	6636	527	4785	1324
ENST00000078527	2066	160	1482	424
ENST00000040738	10567	138	9156	1273
ENST00000040877	5206	76	4866	264
ENST00000044462	4378	119	786	3473
ENST00000029410	1698	79	984	635
ENST00000080059	4213	118	2976	1119
ENST00000053867	2130	40	1782	308
ENST00000040663	3178	67	1110	2001
ENST00000042931	1908	0	1530	378
ENST00000055682	11717	617	4551	6549
ENST00000033079	5465	452	2748	2265
ENST00000055077	1685	16	1065	604
ENST00000023939	1745	113	1011	621
ENST00000052754	6850	196	1080	5574
ENST00000074304	6752	393	2934	3425
